id,repo,commit,source,target,file path,lines,incomplete?,source APIs,target APIs,program element,cardinality,properties,commit URL,candidate source lines,candidate target lines,migration id,file id
I1,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/data.py,3:3,,pytorch-pretrained-bert,pytorch-transformers,import,one-to-one,module name change,https://github.com/kaushaltrivedi/fast-bert/commit/1c96992f,3,3,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f__fast_bert/data.py
I11,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/learner.py,,,,,,,,https://github.com/kaushaltrivedi/fast-bert/commit/1c96992f,"5-6,19,27-28,32,65,76,78,203,209,211,214,220,494,497,499,502,505,507,510,542,560","5-6,29-30,196,200,207,209,220,238,413,418,430,446,456,480,482",pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f__fast_bert/learner.py
I2,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/lm-data.py,5:5,,pytorch_pretrained_bert.tokenization,pytorch_transformers.BertTokenizer,import,one-to-one,module name change,https://github.com/kaushaltrivedi/fast-bert/commit/1c96992f,5,5,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f__fast_bert/lm-data.py
I3,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/modeling.py,1:1,,pytorch_pretrained_bert.modeling,pytorch_transformers,import,one-to-one,module name change,https://github.com/kaushaltrivedi/fast-bert/commit/1c96992f,1,1,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f__fast_bert/modeling.py
I4,kaushaltrivedi/fast-bert,1c96992f4e825e9dd8635a36007d498396d87eba,pytorch-pretrained-bert,pytorch-transformers,fast_bert/prediction.py,3:3,,pytorch_pretrained_bert.tokenization,pytorch_transformers.BertTokenizer,import,one-to-one,module name change,https://github.com/kaushaltrivedi/fast-bert/commit/1c96992f,3,3,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f,pytorch-pretrained-bert__pytorch-transformers__kaushaltrivedi/fast-bert__1c96992f__fast_bert/prediction.py
I12,tiiiger/bert_score,04376e1e50d452f698b454a074d526d5ecd6a76b,pytorch-pretrained-bert,transformers,bert_score/score.py,,,,,,,,https://github.com/tiiiger/bert_score/commit/04376e1e,"6,33-35,40,51,85-87,91-92,94,97,99","10,20-21,26-27,29-30,32,37,39-40,72-73,80-81,86,134-135,141-142,144,146,154-155",pytorch-pretrained-bert__transformers__tiiiger/bert_score__04376e1e,pytorch-pretrained-bert__transformers__tiiiger/bert_score__04376e1e__bert_score/score.py
I5,tiiiger/bert_score,04376e1e50d452f698b454a074d526d5ecd6a76b,pytorch-pretrained-bert,transformers,bert_score/utils.py,:9,,pytorch-pretrained-bert,transformers,import,zero-to-one,adding new imports,https://github.com/tiiiger/bert_score/commit/04376e1e,,"11,17-20",pytorch-pretrained-bert__transformers__tiiiger/bert_score__04376e1e,pytorch-pretrained-bert__transformers__tiiiger/bert_score__04376e1e__bert_score/utils.py
I6,tiiiger/bert_score,04376e1e50d452f698b454a074d526d5ecd6a76b,pytorch-pretrained-bert,transformers,bert_score/utils.py,9:15,,pytorch-pretrained-bert,transformers,attribute access,one-to-one,attribute value change,https://github.com/tiiiger/bert_score/commit/04376e1e,,"11,17-20",pytorch-pretrained-bert__transformers__tiiiger/bert_score__04376e1e,pytorch-pretrained-bert__transformers__tiiiger/bert_score__04376e1e__bert_score/utils.py
I7,tiiiger/bert_score,04376e1e50d452f698b454a074d526d5ecd6a76b,pytorch-pretrained-bert,transformers,bert_score/utils.py,11-19:17-20,,pytorch-pretrained-bert,transformers,attribute access,one-to-many,"attribute name change, attribute value transformation",https://github.com/tiiiger/bert_score/commit/04376e1e,,"11,17-20",pytorch-pretrained-bert__transformers__tiiiger/bert_score__04376e1e,pytorch-pretrained-bert__transformers__tiiiger/bert_score__04376e1e__bert_score/utils.py
I8,tiiiger/bert_score,04376e1e50d452f698b454a074d526d5ecd6a76b,pytorch-pretrained-bert,transformers,cli/score.py,7:,,pytorch-pretrained-bert,,import,one-to-zero,removing import,https://github.com/tiiiger/bert_score/commit/04376e1e,7,,pytorch-pretrained-bert__transformers__tiiiger/bert_score__04376e1e,pytorch-pretrained-bert__transformers__tiiiger/bert_score__04376e1e__cli/score.py
