id,repo,commit,source,target,file path,lines,flag,source APIs,target APIs,source program elements,target program elements,cardinality,properties,comments,commit URL,migration id,file id,candidate source lines,candidate target lines,6,6
I1,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,27:27,,bottle,flask,import,import,one-to-one,no properties,,https://github.com/nicolas-van/pygreen/commit/843c8cfe9af68b9029235a229c838f519049ab0e,bottle__flask__nicolas-van/pygreen__843c8cfe,bottle__flask__nicolas-van/pygreen__843c8cfe__pygreen.py,"27,47,93-94,98-99","27,47,93-94,98-99,127",,
I2,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,47:47,,Bottle,Flask,function call,function call,one-to-one,argument addition; element name change,,https://github.com/nicolas-van/pygreen/commit/843c8cfe9af68b9029235a229c838f519049ab0e,bottle__flask__nicolas-van/pygreen__843c8cfe,bottle__flask__nicolas-van/pygreen__843c8cfe__pygreen.py,,,,
I3,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,93:93,,static_file,send_from_directory,function call,function call,one-to-one,argument transformation; element name change,,https://github.com/nicolas-van/pygreen/commit/843c8cfe9af68b9029235a229c838f519049ab0e,bottle__flask__nicolas-van/pygreen__843c8cfe,bottle__flask__nicolas-van/pygreen__843c8cfe__pygreen.py,,,,
I4,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,94:94,,HTTPError,abort,function call,function call,one-to-one,argument deletion; element name change,,https://github.com/nicolas-van/pygreen/commit/843c8cfe9af68b9029235a229c838f519049ab0e,bottle__flask__nicolas-van/pygreen__843c8cfe,bottle__flask__nicolas-van/pygreen__843c8cfe__pygreen.py,,,,
I5,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,98:98,unsure,route,add_url_rule,function call,function call,one-to-one,argument name change; element name change; argument transformation,"Flagged for discussion: in the target code, ""lambda path..."" is passed as an argument to another function all",https://github.com/nicolas-van/pygreen/commit/843c8cfe9af68b9029235a229c838f519049ab0e,bottle__flask__nicolas-van/pygreen__843c8cfe,bottle__flask__nicolas-van/pygreen__843c8cfe__pygreen.py,,,,
I6,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,98:98,,file_renderer,file_renderer,function call,function call,one-to-one,no properties,,https://github.com/nicolas-van/pygreen/commit/843c8cfe9af68b9029235a229c838f519049ab0e,bottle__flask__nicolas-van/pygreen__843c8cfe,bottle__flask__nicolas-van/pygreen__843c8cfe__pygreen.py,,,,
I7,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,99:99,unsure,route,add_url_rule,function call,function call,one-to-one,argument name change; element name change; argument transformation,Same as above,https://github.com/nicolas-van/pygreen/commit/843c8cfe9af68b9029235a229c838f519049ab0e,bottle__flask__nicolas-van/pygreen__843c8cfe,bottle__flask__nicolas-van/pygreen__843c8cfe__pygreen.py,,,,
I8,nicolas-van/pygreen,843c8cfe9af68b9029235a229c838f519049ab0e,bottle,flask,pygreen.py,99:99,,file_renderer,file_renderer,function call,function call,one-to-one,no properties,,https://github.com/nicolas-van/pygreen/commit/843c8cfe9af68b9029235a229c838f519049ab0e,bottle__flask__nicolas-van/pygreen__843c8cfe,bottle__flask__nicolas-van/pygreen__843c8cfe__pygreen.py,,,,
I9,dbcli/mycli,b7a0b0f7d05cc90c8e5b20c2203562fdffbd6add,configparser,configobj,mycli/config.py,3-6:3,unsure,configparser,configobj,import; exception,import,many-to-one,no properties,Flagged for discussion,https://github.com/dbcli/mycli/commit/b7a0b0f7d05cc90c8e5b20c2203562fdffbd6add,configparser__configobj__dbcli/mycli__b7a0b0f7,configparser__configobj__dbcli/mycli__b7a0b0f7__mycli/config.py,"6,10,14,18-19","3,6-8,10",,
I10,dbcli/mycli,b7a0b0f7d05cc90c8e5b20c2203562fdffbd6add,configparser,configobj,mycli/config.py,10:6,,ConfigParser,ConfigObj,function call,function call,one-to-one,element name change,,https://github.com/dbcli/mycli/commit/b7a0b0f7d05cc90c8e5b20c2203562fdffbd6add,configparser__configobj__dbcli/mycli__b7a0b0f7,configparser__configobj__dbcli/mycli__b7a0b0f7__mycli/config.py,,,,
